#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-19T14:36:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-19T14:36:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/702/A77/tableb1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/702/A77/tableb1&-out=Seq&-out=RA_ICRS&-out=DE_ICRS&-out=GaiaDR3&-out=Alias&-out=HIP&-out=Gmag&-out=Vmag&-out=Kmag&-out=B-V&-out=BP-RP&-out=plx&-out=SpType&-out=MstarFlame&-out=Dataset&-out=NFOV&-out=NAL&-out=AEN&-out=RUWE&-out=sigmacalib&-out=sigmaAL&-out=sigmaatt&-out=alphaU&-out=pRUWE&-out=s_RUWE&-out=Mplmin&-out=smaPlmin&-out=rhoPlmin&-out=WDS&-out=NSSflag&-out=NPlNEA&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020077
#Name: J/A+A/702/A77
#Title: Catalog of 9698 planet candidate solar-type hosts (Kiefer+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a77	    IVOID of underlying data collection
#INFO	creator=Kiefer F.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A..77K	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A77	    Dataset landing page
#INFO	publication_date=2025-12-01	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_702_A77_tableb1:
#Name: J/A+A/702/A77/tableb1
#Title: Candidates systems
#Column	Seq	(I4)	[1/9698] Identification number in the catalog (Catalog ID)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Right ascension (ICRS) at Ep=2016.0 (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) Ep=2016.0 (DE)	[ucd=pos.eq.dec;meta.main]
#Column	GaiaDR3	(I19)	Gaia DR3 Identification number (Gaia DR3 ID)	[ucd=meta.id;meta.main]
#Column	Alias	(a32)	Main alias of the star (main alias)	[ucd=meta.id]
#Column	HIP	(A10)	Name of the star in the Hipparcos catalog (HIP name)	[ucd=meta.id]
#Column	Gmag	(F5.2)	Magnitude in Gaia G-band (G)	[ucd=phot.mag;em.opt]
#Column	Vmag	(F6.2)	? Magnitude in Johnson V-band (V)	[ucd=phot.mag;em.opt.V]
#Column	Kmag	(F6.2)	? Magnitude in Johnson K-band (K)	[ucd=phot.mag;em.IR.K]
#Column	B-V	(F6.3)	? B-V color index from Johnson B- and V-band magnitude (B-V)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	BP-RP	(F6.3)	BP-RP color index from Gaia BP- and RP-band magnitude (BP-RP)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	plx	(F5.2)	Parallax from the Gaia DR3 Catalog (Gaia Collaboration, Vallenari et al., 2023A&A...674A...1G) (PLX)	[ucd=pos.parallax.trig]
#Column	SpType	(a15)	Spectral type from Simbad (SP TYPE)	[ucd=src.spType]
#Column	MstarFlame	(F6.3)	Mass of the star from the mass-flame parameter in the Gaia CU8 catalog (Gaia Collaboration, Creevey et al., 2023A&A...674A...1G) (Mstar_Flame)	[ucd=phys.mass]
#Column	Dataset	(A2)	Identification of Gaia sources' astrometry fitted with 5 or 6 parameters (5p/6p) (Dataset)	[ucd=meta.id;meta.modelled]
#Column	NFOV	(I3)	[14/170] Number of field-of-view (FOV) transits during the Gaia DR3 observing campaign (astrometric_matched_transit in the Gaia DR3 catalog) (N_FOV)	[ucd=meta.id;instr.fov]
#Column	NAL	(I1)	[8/9] Deduced average number of astrometric along-scan angle measurements during a single FOV transit (N_AL)	[ucd=meta.number]
#Column	AEN	(F6.3)	astrometric_excess_noise from Gaia DR3 catalog (AEN)	[ucd=stat.fit.param]
#Column	RUWE	(F6.3)	Renormalised unit weight error from Gaia DR3 catalog (RUWE)	[ucd=stat.error]
#Column	sigmacalib	(F6.3)	G-mag and BP-RP dependent calibration noise as determined in Paper I (Kiefer, Lagrange, et al. 2024a) (sigma_calib)	[ucd=stat.correlation]
#Column	sigmaAL	(F6.3)	G-mag and BP-RP dependent along-scan angle measurement noise as determined in Paper I (sigma_AL)	[ucd=stat.correlation]
#Column	sigmaatt	(F6.3)	RA-Dec dependent attitude excess noise as determined in Paper I (sigma_att)	[ucd=stat.correlation]
#Column	alphaU	(F6.3)	Astrometric signature determined from the RUWE (alpha_UEVA_RUWE)	[ucd=stat.fit.param]
#Column	pRUWE	(E9.2)	p-value of the RUWE in the single-star null hypothesis (Paper I) (p_RUWE)	[ucd=stat.fit.goodness]
#Column	s_RUWE	(F6.1)	Significance of the RUWE as a number of sigma (s_RUWE) (1)	[ucd=meta.number;phys.atmol.number]
#Column	Mplmin	(F4.1)	Approximate minimum mass of the planet deduced from the RUWE (Papers I & II) (M_planet_min)	[ucd=phys.mass]
#Column	smaPlmin	(F5.2)	Approximate semi-major axis of the planet if the mass is M_planet_min (sma_planet_min)	[ucd=phys.angSize;src]
#Column	rhoPlmin	(F6.2)	Planet-to-star angular separation at sma_planet_min (rho_planet_min)	[ucd=pos.angDistance]
#Column	WDS	(A17)	Name of the star in the WDS catalog (if found) (WDS_ID)	[ucd=meta.id]
#Column	NSSflag	(I1)	[0/3]? Flag indicating the type of solution determined in the Gaia non-single star catalog (see Gaia Collaboration, Arenou et al., 2023A&A...674A..34G) (NSS_flag) (2)	[ucd=meta.code.error;meta.table]
#Column	NPlNEA	(I1)	? Number of planets found in the Nasa Exoplanet Archive (N_planeta_NEA)	[ucd=meta.number]
Seq	RA_ICRS	DE_ICRS	GaiaDR3	Alias	HIP	Gmag	Vmag	Kmag	B-V	BP-RP	plx	SpType	MstarFlame	Dataset	NFOV	NAL	AEN	RUWE	sigmacalib	sigmaAL	sigmaatt	alphaU	pRUWE	s_RUWE	Mplmin	smaPlmin	rhoPlmin	WDS	NSSflag	NPlNEA
2504	 73.22381751413	-57.58414726465	4774559841242016512	UCAC4 163-004911                	          	12.53	 13.18	  9.60	 1.417	 1.834	13.79	               	 0.587	5p	 33	9	 0.118	 1.381	 0.096	 0.032	 0.077	 0.094	 6.90e-04	   3.4	 5.5	 1.76	 24.24	                 	0	0
2505	 64.99840229591	-66.35433587128	4668780156861958016	2MASS J04195928-6621170         	          	12.53	 13.50	 10.36	      	 1.246	 5.74	               	 0.753	5p	 33	9	 0.100	 1.228	 0.097	 0.031	 0.079	 0.081	 6.90e-03	   2.7	13.4	 1.91	 10.97	WDS J04198-6622B 	0	0
2506	182.31812455494	 -2.39228535425	3601387978150316544	                                	          	12.53	      	      	      	 1.499	 8.52	               	 0.690	5p	 25	9	 0.098	 1.319	 0.095	 0.029	 0.077	 0.088	 4.80e-03	   2.8	 9.3	 1.86	 15.80	                 	0	0
2507	209.40652975554	 -9.29062623025	3615707914511714048	UCAC4 404-056663                	          	12.54	 13.09	  9.78	 1.310	 1.661	10.15	               	 0.694	5p	 24	9	 0.114	 1.380	 0.095	 0.030	 0.074	 0.088	 5.50e-03	   2.8	 7.8	 1.86	 18.88	WDS J13577-0917A 	0	0
2508	150.74243876741	+38.61213381270	 802997569679878656	                                	          	12.54	      	      	      	 1.533	11.04	               	 0.674	6p	 49	9	 0.200	 1.151	 0.127	 0.055	 0.081	 0.133	 1.00e-05	   4.4	10.6	 1.84	 20.33	                 	0	0
2509	249.87843504030	-66.99617738454	5815375655692821504	                                	          	12.54	      	      	      	 1.663	10.49	               	 0.652	5p	 66	8	 0.162	 1.715	 0.095	 0.030	 0.072	 0.121	 0.00e+00	   6.8	10.0	 1.82	 19.09	                 	0	0
2510	 47.02740689930	-53.22396446273	4734947701468695680	UCAC4 184-002766                	          	12.54	 13.27	  9.39	 1.460	 2.013	13.42	               	 0.622	5p	 50	8	 0.103	 1.282	 0.102	 0.038	 0.077	 0.079	 4.30e-03	   2.9	 4.9	 1.79	 24.05	                 	0	0
2511	 23.91754417020	-24.11799021608	5038857315295138432	                                	          	12.54	      	      	      	 1.602	 9.05	               	 0.690	5p	 51	9	 0.125	 1.261	 0.094	 0.030	 0.080	 0.080	 1.00e-03	   3.3	 7.9	 1.86	 16.79	                 	0	0
2512	 34.31095598876	-27.27829849344	5117016378528360448	ATO J034.3109-27.2783           	          	12.54	 13.09	  9.88	 1.220	 1.579	 9.58	               	 0.680	5p	 77	9	 0.081	 1.208	 0.095	 0.030	 0.078	 0.065	 4.20e-03	   2.9	 6.1	 1.85	 17.70	                 	0	0
2513	257.95087807092	+70.48957583424	1650674610389286016	2MASS J17114830+7029224         	          	12.54	      	  9.93	      	 1.560	 8.23	               	 0.732	5p	 41	9	 0.092	 1.277	 0.095	 0.030	 0.080	 0.083	 1.70e-03	   3.1	 9.4	 1.89	 15.57	                 	0	0
2514	311.17396601812	+23.77369045504	1843136630410761472	                                	          	12.54	      	      	      	 1.323	 7.02	               	 0.743	5p	 49	9	 0.120	 1.406	 0.096	 0.030	 0.075	 0.094	 6.00e-05	   4.0	12.7	 1.90	 13.35	                 	0	0
2515	 10.51396086729	 +0.40708946851	2543119611356356224	                                	          	12.54	      	      	      	 1.705	 9.70	               	 0.697	5p	 50	9	 0.108	 1.295	 0.095	 0.031	 0.079	 0.083	 7.00e-04	   3.4	 7.7	 1.86	 18.05	                 	0	0
2516	 21.44624901568	 -1.86241299492	2485326741871649664	                                	          	12.54	      	      	      	 1.558	 8.68	               	 0.727	5p	 38	9	 0.102	 1.258	 0.095	 0.030	 0.081	 0.084	 1.90e-03	   3.1	 9.0	 1.89	 16.39	                 	0	0
2517	238.08309996459	+72.74321057234	1696435532719297280	                                	          	12.54	      	      	      	 1.391	 7.05	               	 0.715	5p	 38	9	 0.097	 1.304	 0.095	 0.030	 0.079	 0.088	 9.20e-04	   3.3	11.5	 1.88	 13.23	                 	0	0
2518	 42.32804480981	-29.01308559152	5066102977208683264	                                	          	12.54	      	      	      	 1.426	 8.00	               	 0.723	5p	 75	9	 0.128	 1.477	 0.095	 0.030	 0.075	 0.100	 0.00e+00	   5.4	11.6	 1.88	 15.07	                 	0	0
2519	356.42376965608	-43.10132247857	6532118629801786624	                                	          	12.55	      	      	      	 1.476	 7.92	               	 0.696	5p	 31	9	 0.108	 1.338	 0.095	 0.030	 0.075	 0.084	 4.00e-03	   2.9	 9.6	 1.86	 14.74	                 	0	0
2520	190.65845371709	 -3.73028607482	3682003689663457664	UCAC4 432-055658                	          	12.55	 13.11	  9.84	 1.305	 1.637	 9.75	               	 0.704	5p	 46	9	 0.083	 1.265	 0.094	 0.031	 0.078	 0.076	 3.60e-03	   2.9	 7.1	 1.87	 18.21	                 	0	0
2521	 39.78090386416	-32.87477532301	5062968338279905408	                                	          	12.55	      	      	      	 1.276	 6.66	               	 0.729	5p	105	9	 0.103	 1.260	 0.097	 0.031	 0.076	 0.074	 1.40e-04	   3.8	10.3	 1.89	 12.59	                 	0	0
2522	170.19577094602	+17.92727887507	3971028596109416576	GPM 170.195016+17.927861        	          	12.55	 12.90	  9.76	 0.900	 1.713	 9.77	               	 0.680	5p	 20	9	 0.098	 1.458	 0.095	 0.032	 0.075	 0.103	 1.20e-03	   3.2	 9.4	 1.85	 18.04	                 	0	0
2523	286.78738498971	-80.54966951124	6360853029303982464	                                	          	12.55	      	      	      	 2.045	14.01	               	 0.626	5p	 48	9	 0.100	 1.286	 0.103	 0.039	 0.076	 0.078	 6.50e-03	   2.7	 4.7	 1.80	 25.16	                 	0	0
2524	276.12164264309	-64.90284823401	6437699748099049600	                                	          	12.55	      	      	      	 1.231	 5.85	               	 0.755	5p	105	9	 0.099	 1.247	 0.097	 0.032	 0.072	 0.063	 3.70e-03	   2.9	10.2	 1.91	 11.18	                 	0	0
2525	185.98582296638	+76.76884222935	1693021755273206656	                                	          	12.55	      	      	      	 1.335	 6.95	               	 0.737	5p	 39	9	 0.110	 1.273	 0.096	 0.031	 0.078	 0.082	 2.70e-03	   3.0	11.1	 1.90	 13.18	                 	0	0
2526	193.54116541511	+40.12537804281	1527055422863814656	                                	          	12.56	      	      	      	 1.176	 5.96	               	 0.791	5p	 85	9	 0.106	 1.269	 0.098	 0.033	 0.078	 0.081	 9.00e-05	   3.9	13.3	 1.94	 11.58	                 	0	0
2527	201.16621698084	-29.97098395146	6181988459130776704	                                	          	12.56	      	      	      	 2.003	15.03	               	 0.571	5p	 36	9	 0.128	 1.469	 0.101	 0.038	 0.074	 0.101	 2.80e-04	   3.6	 5.3	 1.74	 26.18	                 	0	0
2528	 66.01664490676	-77.66082600967	4627481538049116544	UCAC4 062-002962                	          	12.56	 12.98	 10.18	 1.150	 1.400	 7.15	               	 0.731	5p	 37	9	 0.111	 1.310	 0.095	 0.031	 0.079	 0.089	 9.50e-04	   3.3	11.6	 1.89	 13.53	                 	0	0
2529	228.47372712459	-15.56960636752	6307542619618544384	                                	          	12.56	      	      	      	 1.337	 6.79	               	 0.725	5p	 26	9	 0.111	 1.382	 0.096	 0.031	 0.072	 0.088	 5.00e-03	   2.8	12.0	 1.89	 12.82	                 	0	0
2530	 16.88739672595	 -4.21941576858	2531057835652647680	                                	          	12.56	      	      	      	 1.483	 8.08	               	 0.728	5p	 28	9	 0.110	 1.301	 0.095	 0.031	 0.082	 0.094	 1.20e-03	   3.2	10.9	 1.89	 15.26	                 	0	0
2531	129.96725828135	+44.97776174158	 917383303367071360	Wolf  317 A                     	          	12.56	 12.54	  9.56	 1.450	 1.907	12.77	M0             	 0.649	5p	 34	9	 0.097	 1.299	 0.098	 0.035	 0.076	 0.081	 6.70e-03	   2.7	 5.5	 1.82	 23.22	WDS J08399+4500A 	0	0
2532	221.44836209325	+53.88408608300	1606071413676588544	                                	          	12.56	      	      	      	 1.828	12.30	               	 0.633	5p	 42	9	 0.102	 1.367	 0.096	 0.034	 0.078	 0.093	 2.40e-04	   3.7	 6.4	 1.80	 22.19	                 	0	0
2533	175.95389822910	+26.92157862754	4017890297081316224	                                	          	12.56	      	      	      	 1.483	 7.50	               	 0.723	5p	 23	9	 0.109	 1.337	 0.095	 0.031	 0.076	 0.088	 6.00e-03	   2.7	10.9	 1.88	 14.14	                 	0	0
2534	259.41454189842	+66.22336677081	1634035357328826496	UCAC4 782-026538                	          	12.56	 13.11	  9.55	 1.762	 1.893	13.56	               	 0.607	5p	 32	9	 0.108	 1.399	 0.098	 0.035	 0.078	 0.100	 3.30e-04	   3.6	 6.1	 1.78	 24.11	                 	0	0
2535	198.24539971219	 +5.03536734930	3717026399183091328	                                	          	12.56	      	      	      	 1.890	14.82	               	 0.553	5p	 38	9	 0.133	 1.438	 0.097	 0.035	 0.081	 0.110	 1.00e-05	   4.5	 5.8	 1.72	 25.55	                 	0	0
2536	261.69869232935	+68.55948407566	1637560086665777664	UCAC4 793-027622                	          	12.57	 13.15	  9.53	 1.738	 1.924	12.44	               	 0.656	5p	 33	9	 0.104	 1.339	 0.099	 0.036	 0.079	 0.093	 1.30e-03	   3.2	 6.5	 1.82	 22.70	                 	0	0
2537	195.36183619369	-78.25303926618	5788025991134329600	                                	          	12.57	      	      	      	 1.643	 9.81	               	 0.694	5p	 37	9	 0.163	 1.844	 0.095	 0.032	 0.076	 0.146	 0.00e+00	   6.8	13.4	 1.86	 18.24	                 	1	0
2538	 29.71807553926	-10.23834255135	2462397732544516736	                                	          	12.57	      	      	      	 1.869	12.52	               	 0.636	5p	 42	9	 0.103	 1.258	 0.097	 0.034	 0.080	 0.081	 2.70e-03	   3.0	 5.5	 1.81	 22.60	                 	0	0
2539	 10.78262708279	-11.12074066089	2377631360341773312	UCAC2  27772127                 	          	12.57	 13.06	 10.05	 1.200	 1.513	 8.08	               	 0.720	5p	 67	9	 0.112	 1.360	 0.095	 0.031	 0.078	 0.090	 1.00e-05	   4.4	10.3	 1.88	 15.21	                 	0	0
2540	 54.81571601571	 -9.45783373790	5164367121656939392	                                	          	12.57	      	      	      	 1.546	 8.30	               	 0.697	5p	 32	9	 0.111	 1.450	 0.095	 0.031	 0.073	 0.094	 6.10e-04	   3.4	10.2	 1.86	 15.46	                 	0	0
2541	179.33764804880	-16.69812745777	3568230761907492864	                                	          	12.57	      	      	      	 2.328	17.11	               	 0.599	5p	 46	9	 0.275	 2.091	 0.119	 0.049	 0.077	 0.219	 0.00e+00	9999.0	10.5	 1.77	 30.29	                 	0	0
2542	245.33701093373	-75.32915552398	5781273203035548672	                                	          	12.57	      	      	      	 1.902	14.19	               	 0.577	5p	 51	9	 0.269	 2.561	 0.098	 0.036	 0.075	 0.226	 0.00e+00	9999.0	12.7	 1.75	 24.81	                 	0	0
2543	 74.52956006492	-33.68266538180	4873490736414293888	WT 2398                         	          	12.57	      	  9.53	      	 1.954	14.55	               	 0.602	5p	 44	9	 0.096	 1.316	 0.100	 0.037	 0.075	 0.079	 5.30e-03	   2.8	 4.4	 1.77	 25.81	                 	0	0
2544	 25.19891829338	-34.04016459302	5012371390148099840	                                	          	12.57	      	      	      	 1.834	11.85	               	 0.652	5p	 68	9	 0.125	 1.419	 0.096	 0.034	 0.079	 0.101	 0.00e+00	   5.1	 7.3	 1.82	 21.58	                 	0	0
2545	255.95446558182	-10.97565952111	4334848682982057344	                                	          	12.57	      	      	      	 1.441	 6.81	               	 0.758	5p	 28	8	 0.109	 1.367	 0.095	 0.031	 0.074	 0.089	 2.90e-03	   3.0	12.5	 1.91	 13.04	                 	0	0
2546	191.45024505879	+37.41868267346	1520396127609489408	                                	          	12.57	      	      	      	 1.696	11.01	               	 0.669	5p	 38	9	 0.090	 1.294	 0.095	 0.033	 0.077	 0.080	 4.20e-03	   2.9	 6.4	 1.84	 20.21	                 	0	0
2547	184.48711750539	+37.76688372753	1532391112273601536	                                	          	12.57	      	      	      	 1.452	 7.51	               	 0.747	5p	 50	9	 0.099	 1.263	 0.095	 0.031	 0.078	 0.079	 1.70e-03	   3.1	 9.9	 1.91	 14.30	                 	0	0
2548	250.05736735073	+49.72368763067	1412253901978811264	                                	          	12.57	      	      	      	 1.473	 7.73	               	 0.722	5p	 34	9	 0.088	 1.278	 0.095	 0.032	 0.078	 0.082	 4.20e-03	   2.9	 9.8	 1.88	 14.57	                 	0	0
2549	353.61865660351	-71.26707406196	6380460306628388736	UCAC4 094-079890                	          	12.58	 13.10	  9.88	 1.264	 1.600	 9.42	               	 0.704	5p	 44	8	 0.156	 1.656	 0.094	 0.032	 0.076	 0.124	 0.00e+00	   5.9	12.0	 1.87	 17.60	                 	0	0
2550	241.80636407563	-16.94935338359	6250058227573066752	                                	          	12.58	      	      	      	 1.548	 8.22	               	 0.719	5p	 28	9	 0.095	 1.363	 0.095	 0.032	 0.072	 0.083	 6.90e-03	   2.7	 9.3	 1.88	 15.47	                 	0	0
2551	 18.03036705709	 -1.59110423502	2532109204991247872	                                	          	12.58	      	      	      	 1.300	 6.43	               	 0.724	5p	 37	9	 0.092	 1.234	 0.097	 0.032	 0.082	 0.086	 1.80e-03	   3.1	12.4	 1.89	 12.13	                 	0	0
2552	 17.78175446561	+13.95966989436	2590791274437289600	                                	          	12.58	      	      	      	 1.572	 8.57	               	 0.727	5p	 27	9	 0.098	 1.365	 0.095	 0.032	 0.077	 0.093	 1.70e-03	   3.1	10.0	 1.89	 16.18	                 	0	0
2553	 10.44947317373	-15.91558258818	2370894828692668416	                                	          	12.58	      	      	      	 1.455	 7.39	               	 0.705	5p	 47	9	 0.103	 1.289	 0.095	 0.032	 0.078	 0.083	 9.10e-04	   3.3	10.2	 1.87	 13.80	                 	0	0
2554	203.93153938546	+27.13730122934	1448608910353125248	UCAC4 586-049801                	          	12.58	 13.06	 10.09	 1.181	 1.490	 7.41	               	 0.725	5p	 53	8	 0.101	 1.247	 0.095	 0.032	 0.081	 0.080	 9.40e-04	   3.3	10.0	 1.89	 13.99	                 	0	0
2555	 22.22298246636	-32.21324666659	5016521634226281344	LEHPM 1590                      	          	12.58	      	 10.16	      	 1.403	 8.02	               	 0.722	5p	 86	9	 0.092	 1.185	 0.095	 0.032	 0.079	 0.065	 3.20e-03	   2.9	 7.5	 1.88	 15.12	                 	0	0
2556	169.57990702326	+30.80525934716	4023358756817018752	                                	          	12.58	      	      	      	 1.699	 9.95	               	 0.678	5p	 29	9	 0.093	 1.331	 0.095	 0.033	 0.078	 0.089	 2.70e-03	   3.0	 7.9	 1.84	 18.36	                 	0	0
2557	154.95377043089	+30.16688722324	 741788238393913344	UCAC4 601-047993                	          	12.58	 13.01	 10.16	 1.210	 1.447	 7.09	               	 0.727	5p	 28	8	 0.088	 1.299	 0.095	 0.032	 0.079	 0.090	 2.60e-03	   3.0	11.8	 1.89	 13.39	                 	0	0
2558	113.02448128263	-58.85485769129	5293762597817216128	UCAC4 156-011045                	          	12.58	 13.00	 10.19	 1.104	 1.401	 7.35	               	 0.727	5p	 33	9	 0.106	 1.344	 0.095	 0.032	 0.077	 0.091	 1.10e-03	   3.3	11.5	 1.89	 13.88	                 	0	0
2559	 75.96786681034	-67.00003077375	4661888963437398528	MACHO  25.3840.1838             	          	12.58	 14.07	  9.70	      	 1.765	10.91	K5V            	 0.652	5p	 38	9	 0.101	 1.291	 0.096	 0.034	 0.086	 0.098	 1.20e-04	   3.9	 7.8	 1.82	 19.86	                 	0	0
2560	 68.39198277660	-69.62004166718	4655812443715496576	UCAC4 102-003991                	          	12.58	 13.21	  9.75	 1.276	 1.728	 9.19	               	 0.691	5p	 39	9	 0.099	 1.280	 0.095	 0.034	 0.081	 0.087	 1.00e-03	   3.3	 8.5	 1.86	 17.06	                 	0	0
2561	  1.00574428645	-45.25916631932	4991245614249699584	                                	          	12.58	      	      	      	 1.519	 7.97	               	 0.724	5p	 64	9	 0.086	 1.265	 0.095	 0.032	 0.074	 0.067	 5.60e-03	   2.8	 7.8	 1.89	 15.02	                 	0	0
2562	146.18277746283	-84.06778580187	5191947580567518336	                                	          	12.58	      	      	      	 1.319	 6.01	               	 0.745	5p	 41	9	 0.082	 1.268	 0.096	 0.033	 0.078	 0.082	 2.60e-03	   3.0	12.9	 1.90	 11.44	                 	0	0
2563	257.69808997584	+51.89281605619	1415767460104632704	                                	          	12.59	      	      	      	 1.591	 8.89	               	 0.707	5p	 37	9	 0.097	 1.346	 0.095	 0.032	 0.077	 0.088	 1.00e-03	   3.3	 9.0	 1.87	 16.63	                 	0	0
2564	 98.51353480545	-80.24757451979	5210815401960727552	                                	          	12.59	      	      	      	 1.524	 7.77	               	 0.714	5p	 37	9	 0.091	 1.263	 0.095	 0.032	 0.078	 0.079	 5.20e-03	   2.8	 9.3	 1.88	 14.59	                 	0	0
2565	271.58877936980	+14.12885828306	4498086336771677440	UCAC4 521-070317                	          	12.59	      	  9.35	      	 2.078	10.16	               	 0.699	5p	 50	9	 0.138	 1.473	 0.104	 0.041	 0.073	 0.102	 5.00e-05	   4.1	 9.1	 1.86	 18.94	                 	0	0
2566	233.86289326445	+61.64510299013	1639627580842865920	UCAC4 759-045231                	          	12.59	 13.37	  9.39	 1.410	 2.123	18.44	               	 0.541	5p	 38	9	 0.136	 1.511	 0.105	 0.042	 0.079	 0.124	 0.00e+00	   4.7	 5.1	 1.71	 31.56	                 	0	0
2567	176.44213688093	+29.76636865949	4020757308010136448	                                	          	12.59	      	      	      	 1.507	 7.53	               	 0.729	5p	 21	9	 0.102	 1.471	 0.095	 0.032	 0.076	 0.108	 4.50e-04	   3.5	13.4	 1.89	 14.23	                 	0	0
2568	144.55383752785	+49.05839221538	 825946748170524800	                                	          	12.59	      	      	      	 1.722	10.01	               	 0.687	5p	 49	9	 0.091	 1.241	 0.095	 0.034	 0.079	 0.075	 3.80e-03	   2.9	 6.7	 1.85	 18.54	                 	0	0
2569	200.91545334519	+64.27505601859	1665723316805616384	                                	          	12.59	      	      	      	 1.611	 8.97	               	 0.774	5p	 41	9	 0.099	 1.275	 0.094	 0.033	 0.079	 0.081	 2.20e-03	   3.1	 8.8	 1.93	 17.30	                 	0	0
2570	 23.22536900849	-26.57314986524	5036854112484042240	UCAC3 127-3863                  	          	12.59	 13.08	 10.06	 1.230	 1.519	 7.75	               	 0.716	5p	 64	9	 0.112	 1.339	 0.095	 0.033	 0.079	 0.089	 2.00e-05	   4.3	10.6	 1.88	 14.55	                 	0	0
2571	 20.56788319023	 -5.79049772708	2481738687537280384	                                	          	12.59	      	      	      	 1.580	 9.00	               	 0.703	5p	 29	9	 0.093	 1.197	 0.095	 0.033	 0.084	 0.082	 6.30e-03	   2.7	 8.3	 1.87	 16.80	                 	0	0
2572	130.10957342619	-70.08542417216	5223331799954218496	2MASS J08402654-7005095         	          	12.59	      	  9.99	      	 1.556	 7.95	               	 0.701	5p	 41	9	 0.100	 1.261	 0.095	 0.033	 0.078	 0.076	 5.30e-03	   2.8	 8.7	 1.87	 14.84	                 	0	0
2573	195.22598070395	+26.22183460319	1460314306846949888	                                	          	12.59	      	      	      	 1.473	 7.57	               	 0.735	5p	 89	9	 0.089	 1.262	 0.095	 0.033	 0.075	 0.068	 1.40e-03	   3.2	 8.4	 1.90	 14.35	                 	0	0
2574	126.47296804677	-69.22192086110	5270015891139079808	UCAC4 104-022648                	          	12.59	 13.25	  9.41	 1.422	 2.086	15.62	               	 0.586	5p	 43	9	 0.128	 1.449	 0.104	 0.041	 0.078	 0.110	 2.00e-05	   4.3	 5.7	 1.76	 27.45	                 	0	0
2575	 61.78769187219	-51.97631490157	4828562659782241664	                                	          	12.59	      	      	      	 1.333	 7.33	               	 0.732	5p	 40	9	 0.090	 1.275	 0.096	 0.033	 0.077	 0.081	 2.90e-03	   3.0	10.4	 1.89	 13.86	                 	0	0
2576	 74.56098226857	 +3.78258796144	3239221247531813504	UCAC4 469-008223                	          	12.59	 13.51	  9.38	 1.572	 2.166	15.57	               	 0.599	5p	 54	9	 0.141	 1.431	 0.108	 0.044	 0.073	 0.100	 1.30e-04	   3.8	 5.2	 1.77	 27.56	                 	3	0
2577	287.41518555581	-37.79809805368	6718859955248583808	                                	          	12.60	      	      	      	 1.708	10.62	               	 0.664	5p	 25	8	 0.093	 1.353	 0.095	 0.034	 0.074	 0.086	 6.80e-03	   2.7	 7.1	 1.83	 19.45	                 	0	0
2578	146.46940486081	-81.54432601845	5195632593788142464	                                	          	12.60	      	      	      	 1.810	12.14	               	 0.633	5p	 44	9	 0.080	 1.273	 0.096	 0.035	 0.077	 0.077	 4.40e-03	   2.8	 5.4	 1.80	 21.89	                 	0	0
2579	 45.95850709730	-44.73174707700	4754508421347151232	                                	          	12.60	      	      	      	 1.403	 6.92	               	 0.728	5p	 42	9	 0.087	 1.295	 0.096	 0.032	 0.076	 0.081	 2.50e-03	   3.0	10.8	 1.89	 13.08	                 	0	0
2580	 37.35551232478	 -5.33637494591	2488896168932236416	UCAC2  29947670                 	          	12.60	 13.02	  9.94	 1.240	 1.576	 9.12	               	 0.669	5p	 22	9	 0.095	 1.369	 0.095	 0.033	 0.076	 0.093	 3.50e-03	   2.9	 9.0	 1.84	 16.74	                 	0	0
